,1_port_1,1_port_2,1_port_3,1_port_4,1_port_5,2_port_1,2_port_2,2_port_3,2_port_4,2_port_5,3_port_1,3_port_2,3_port_3,3_port_4,3_port_5,4_port_1,4_port_2,4_port_3,4_port_4,4_port_5,5_port_1,5_port_2,5_port_3,5_port_4,5_port_5
13167,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
13168,480.0,480.0,480.0,2999808.0,480.0,480.0,480.0,480.0,2999808.0,480.0,3011904.0,480.0,480.0,2999808.0,480.0,480.0,480.0,480.0,2999808.0,480.0,3017952.0,480.0,480.0,480.0,480.0
13169,480.0,480.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3090528.0,480.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3090528.0,480.0,480.0,480.0,480.0
13170,480.0,480.0,229824.0,3090528.0,2382912.0,480.0,480.0,229824.0,3090528.0,2382912.0,5709312.0,480.0,229824.0,3090528.0,2382912.0,480.0,480.0,229824.0,3090528.0,2382912.0,5733504.0,480.0,480.0,480.0,480.0
13171,480.0,480.0,3090528.0,3090528.0,4342464.0,480.0,480.0,3090528.0,3090528.0,4342464.0,10541664.0,480.0,3090528.0,3090528.0,4342464.0,480.0,480.0,3090528.0,3090528.0,4342464.0,10541664.0,480.0,480.0,480.0,480.0
13172,480.0,480.0,3084480.0,3084480.0,7185024.0,480.0,480.0,3084480.0,3084480.0,7185024.0,13347936.0,480.0,3084480.0,3084480.0,7185024.0,480.0,480.0,3084480.0,3084480.0,7185024.0,13353984.0,480.0,480.0,480.0,480.0
13173,480.0,480.0,3084480.0,3090528.0,7209216.0,480.0,480.0,3084480.0,3090528.0,7209216.0,13384224.0,480.0,3084480.0,3090528.0,7209216.0,480.0,480.0,3084480.0,3090528.0,7209216.0,13384224.0,480.0,480.0,480.0,480.0
13174,480.0,480.0,5437152.0,3090528.0,7221312.0,480.0,480.0,5437152.0,3090528.0,7221312.0,15761088.0,480.0,5437152.0,3090528.0,7221312.0,480.0,480.0,5437152.0,3090528.0,7221312.0,15761088.0,480.0,480.0,480.0,480.0
13175,480.0,480.0,7197120.0,3084480.0,7185024.0,480.0,480.0,7197120.0,3084480.0,7185024.0,17466624.0,480.0,7197120.0,3084480.0,7185024.0,480.0,480.0,7197120.0,3084480.0,7185024.0,17478720.0,480.0,480.0,480.0,480.0
13176,480.0,480.0,7215264.0,3096576.0,7215264.0,480.0,480.0,7215264.0,3096576.0,7215264.0,17521056.0,480.0,7215264.0,3096576.0,7215264.0,480.0,480.0,7215264.0,3096576.0,7215264.0,17521056.0,480.0,480.0,480.0,480.0
13177,480.0,480.0,7197120.0,3084480.0,7197120.0,480.0,480.0,7197120.0,3084480.0,7197120.0,17478720.0,480.0,7197120.0,3084480.0,7197120.0,480.0,480.0,7197120.0,3084480.0,7197120.0,17484768.0,480.0,480.0,480.0,480.0
